Name,Preset_FRR,FAR_of_Offline,Threshold,Similarity_Metric,Comparison_Set_N
Gerard_Butler,0.005,0.0012580958768517725,0.5668231072951037,pearson,3
global,0.005,0.04562110887530346,0.24307738700345027,pearson,3
global,0.02,0.001996169210585985,0.264778350136445,tanimoto,3
Gillian_Anderson,0.005,0.00046536195154112114,0.2602932296915496,tanimoto,3
